Order,Seasonal_Order,MAE,RMSE,MAPE,AIC,BIC,Ljung_Box_P_Value,Converged,Warnings
"(1, 0, 1)","(1, 0, 0, 52)",657878.3321882151,773578.3324360733,1.4251076421736244,317.62030311305034,329.4038472464983,0.5076493344933997,True,
"(1, 0, 1)","(0, 0, 1, 52)",791020.0911035165,914409.1584286181,1.7288257324478462,458.4846318111034,470.2036589203718,0.027509970630521276,True,Too few observations to estimate starting parameters for seasonal ARMA. All parameters except for variances will be set to zeros.
"(1, 0, 2)","(1, 0, 0, 52)",833065.5229197206,1088442.2517157723,1.8201202175012878,311.8154496733843,325.95570263352187,0.7266608579130445,True,
"(2, 0, 1)","(1, 0, 0, 52)",838253.193950293,1094019.9914904195,1.831615838660612,308.9307316135821,322.99356414470424,0.5854250482385821,True,
